(.venv-kvpress) PS C:\Users\qkral\projects\swm-logpress\Part_A\week6\ObservedAttention> python ObservedAttention.py
Loading checkpoint shards: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 2/2 [00:01<00:00,  1.19it/s]

================================================================================
압축률: 0.5
원본 토큰 수: 8174
압축 후 KV 토큰 수: 4087
압축률: 0.5
기준 레이어: 0
생존 unique token 수: 5057
================================================================================
Line 00 | PARTIAL | 33/77 | 1133740692 2005.12.04 dn871 Dec 4 15:58:12 dn871/dn871 ntpd[2286]: synchronized to 10.100.28.250, stratum 3
Line 13 | PARTIAL | 48/146 | 1133740698 2005.12.04 dn483 Dec 4 15:58:18 dn483/dn483 kernel: [KERNEL_IB][ib_mad_dispatch][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/ts_api_ng/mad/obj_host_amd64_custom1_rhel4/ts_ib_mad/mad_filter.c:292]mad_process failed (0) for InfiniHost0 port 1 QPN 0 (class 0x81, aid 0x0011)
Line 14 | PARTIAL | 51/146 | 1133740698 2005.12.04 dn483 Dec 4 15:58:18 dn483/dn483 kernel: [KERNEL_IB][ib_mad_dispatch][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/ts_api_ng/mad/obj_host_amd64_custom1_rhel4/ts_ib_mad/mad_filter.c:292]mad_process failed (0) for InfiniHost0 port 1 QPN 0 (class 0x81, aid 0x0011)
Line 15 | PARTIAL | 46/143 | 1133740698 2005.12.04 dn483 Dec 4 15:58:18 dn483/dn483 kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))
Line 16 | PARTIAL | 45/143 | 1133740698 2005.12.04 dn483 Dec 4 15:58:18 dn483/dn483 kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))
Line 17 | PARTIAL | 36/128 | 1133740699 2005.12.04 dn483 Dec 4 15:58:19 dn483/dn483 kernel: THH(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/hob_comm.c[1597]: XHH_hob_process_local_mad: Device in FATAL state
Line 18 | PARTIAL | 36/128 | 1133740699 2005.12.04 dn483 Dec 4 15:58:19 dn483/dn483 kernel: THH(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/hob_comm.c[1597]: XHH_hob_process_local_mad: Device in FATAL state
Line 19 | PARTIAL | 44/146 | 1133740699 2005.12.04 dn483 Dec 4 15:58:19 dn483/dn483 kernel: [KERNEL_IB][ib_mad_dispatch][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/ts_api_ng/mad/obj_host_amd64_custom1_rhel4/ts_ib_mad/mad_filter.c:292]mad_process failed (0) for InfiniHost0 port 1 QPN 0 (class 0x81, aid 0x0011)
Line 20 | PARTIAL | 48/146 | 1133740699 2005.12.04 dn483 Dec 4 15:58:19 dn483/dn483 kernel: [KERNEL_IB][ib_mad_dispatch][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/ts_api_ng/mad/obj_host_amd64_custom1_rhel4/ts_ib_mad/mad_filter.c:292]mad_process failed (0) for InfiniHost0 port 1 QPN 0 (class 0x81, aid 0x0011)
Line 21 | PARTIAL | 49/143 | 1133740699 2005.12.04 dn483 Dec 4 15:58:19 dn483/dn483 kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))
Line 22 | PARTIAL | 52/143 | 1133740699 2005.12.04 dn483 Dec 4 15:58:19 dn483/dn483 kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))
Line 23 | PARTIAL | 23/65 | 1133740699 2005.12.04 tbird-sm1 Dec 4 15:58:19 src@tbird-sm1 ib_sm.x[24904]: [INFO]: Configuration caused by some ports in INIT state
Line 24 | PARTIAL | 33/96 | 1133740699 2005.12.04 tbird-sm1 Dec 4 15:58:19 src@tbird-sm1 ib_sm.x[24904]: [ib_sm_discovery.c:1103]: Failed discover node test, node 5ad000002756a, port_num= 7, error code 1
Line 25 | PARTIAL | 29/75 | 1133740699 2005.12.04 tbird-sm1 Dec 4 15:58:19 src@tbird-sm1 ib_sm.x[24904]: [ib_sm_discovery.c:470]: Failed to GetNodeInfo() because of NO RESPONSE
Line 26 | PARTIAL | 51/111 | 1133740699 2005.12.04 tbird-sm1 Dec 4 15:58:19 src@tbird-sm1 ib_sm.x[24904]: [ib_sm_discovery.c:490]: Failed to GetNodeInfo() - hop_count: 6, direct_path: 0, 1, 2, 13, 2, 7, 7, 0, 0, 0
Line 27 | PARTIAL | 22/69 | 1133740699 2005.12.04 tbird-sm1 Dec 4 15:58:19 src@tbird-sm1 ib_sm.x[24904]: [ib_sm_sweep.c:1455]: No topology change
Line 28 | PARTIAL | 59/128 | 1133740700 2005.12.04 dn483 Dec 4 15:58:20 dn483/dn483 kernel: THH(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/hob_comm.c[1597]: XHH_hob_process_local_mad: Device in FATAL state
Line 29 | PARTIAL | 62/146 | 1133740700 2005.12.04 dn483 Dec 4 15:58:20 dn483/dn483 kernel: [KERNEL_IB][ib_mad_dispatch][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/ts_api_ng/mad/obj_host_amd64_custom1_rhel4/ts_ib_mad/mad_filter.c:292]mad_process failed (0) for InfiniHost0 port 1 QPN 0 (class 0x81, aid 0x0011)
Line 30 | PARTIAL | 64/146 | 1133740700 2005.12.04 dn483 Dec 4 15:58:20 dn483/dn483 kernel: [KERNEL_IB][ib_mad_dispatch][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/ts_api_ng/mad/obj_host_amd64_custom1_rhel4/ts_ib_mad/mad_filter.c:292]mad_process failed (0) for InfiniHost0 port 1 QPN 0 (class 0x81, aid 0x0011)
Line 31 | PARTIAL | 71/143 | 1133740700 2005.12.04 dn483 Dec 4 15:58:20 dn483/dn483 kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))
Line 32 | PARTIAL | 74/143 | 1133740700 2005.12.04 dn483 Dec 4 15:58:20 dn483/dn483 kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))
Line 33 | PARTIAL | 58/105 | 1133740702 2005.12.04 bn278 Dec 4 15:58:22 bn278/bn278 Server Administrator: Instrumentation Service EventID: 1052 Temperature sensor returned to a normal value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previous state was: Non-Critical (Warning) Temperature sensor value (in Degrees Celsius): 11.0
Line 34 | PARTIAL | 25/65 | 1133740702 2005.12.04 bn278 Dec 4 15:58:22 bn278/bn278 snmpd[7939]: Got trap from peer on fd 13
Line 35 | PARTIAL | 57/102 | 1133740709 2005.12.04 bn270 Dec 4 15:58:29 bn270/bn270 Server Administrator: Instrumentation Service EventID: 1053 Temperature sensor detected a warning value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previous state was: OK (Normal) Temperature sensor value (in Degrees Celsius): 10.0
Line 36 | PARTIAL | 25/65 | 1133740709 2005.12.04 bn270 Dec 4 15:58:29 bn270/bn270 snmpd[7984]: Got trap from peer on fd 13
Line 37 | PARTIAL | 30/73 | 1133740710 2005.12.04 tbird-sm1 Dec 4 15:58:30 src@tbird-sm1 ib_sm.x[24904]: [ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************
Line 38 | PARTIAL | 57/102 | 1133740711 2005.12.04 bn201 Dec 4 15:58:31 bn201/bn201 Server Administrator: Instrumentation Service EventID: 1053 Temperature sensor detected a warning value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previous state was: OK (Normal) Temperature sensor value (in Degrees Celsius): 10.0
Line 39 | PARTIAL | 25/65 | 1133740711 2005.12.04 bn201 Dec 4 15:58:31 bn201/bn201 snmpd[8015]: Got trap from peer on fd 13
Line 40 | PARTIAL | 60/105 | 1133740712 2005.12.04 bn215 Dec 4 15:58:32 bn215/bn215 Server Administrator: Instrumentation Service EventID: 1052 Temperature sensor returned to a normal value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previous state was: Non-Critical (Warning) Temperature sensor value (in Degrees Celsius): 11.0
Line 41 | PARTIAL | 25/65 | 1133740712 2005.12.04 bn215 Dec 4 15:58:32 bn215/bn215 snmpd[7941]: Got trap from peer on fd 13
Line 42 | PARTIAL | 33/70 | 1133740712 2005.12.04 tbird-sm1 Dec 4 15:58:32 src@tbird-sm1 ib_sm.x[24904]: [ib_sm_sweep.c:1264]: Rediscover the subnet
Line 43 | PARTIAL | 40/91 | 1133740712 2005.12.04 tbird-sm1 Dec 4 15:58:32 src@tbird-sm1 ib_sm.x[24904]: [ib_sm_sweep.c:411]: IB node 0x0005AD000002756A port 7 is INIT state
Line 44 | PARTIAL | 80/128 | 1133740713 2005.12.04 dn483 Dec 4 15:58:33 dn483/dn483 kernel: THH(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/hob_comm.c[1597]: XHH_hob_process_local_mad: Device in FATAL state
Line 45 | PARTIAL | 80/128 | 1133740713 2005.12.04 dn483 Dec 4 15:58:33 dn483/dn483 kernel: THH(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/hob_comm.c[1597]: XHH_hob_process_local_mad: Device in FATAL state
Line 46 | PARTIAL | 96/146 | 1133740713 2005.12.04 dn483 Dec 4 15:58:33 dn483/dn483 kernel: [KERNEL_IB][ib_mad_dispatch][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/ts_api_ng/mad/obj_host_amd64_custom1_rhel4/ts_ib_mad/mad_filter.c:292]mad_process failed (0) for InfiniHost0 port 1 QPN 0 (class 0x81, aid 0x0011)
Line 47 | PARTIAL | 105/143 | 1133740713 2005.12.04 dn483 Dec 4 15:58:33 dn483/dn483 kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))
Line 48 | PARTIAL | 98/128 | 1133740714 2005.12.04 dn483 Dec 4 15:58:34 dn483/dn483 kernel: THH(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/hob_comm.c[1597]: XHH_hob_process_local_mad: Device in FATAL state
Line 49 | PARTIAL | 107/128 | 1133740714 2005.12.04 dn483 Dec 4 15:58:34 dn483/dn483 kernel: THH(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/hob_comm.c[1597]: XHH_hob_process_local_mad: Device in FATAL state
Line 50 | PARTIAL | 126/146 | 1133740714 2005.12.04 dn483 Dec 4 15:58:34 dn483/dn483 kernel: [KERNEL_IB][ib_mad_dispatch][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/ts_api_ng/mad/obj_host_amd64_custom1_rhel4/ts_ib_mad/mad_filter.c:292]mad_process failed (0) for InfiniHost0 port 1 QPN 0 (class 0x81, aid 0x0011)
Line 51 | PARTIAL | 135/146 | 1133740714 2005.12.04 dn483 Dec 4 15:58:34 dn483/dn483 kernel: [KERNEL_IB][ib_mad_dispatch][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/ts_api_ng/mad/obj_host_amd64_custom1_rhel4/ts_ib_mad/mad_filter.c:292]mad_process failed (0) for InfiniHost0 port 1 QPN 0 (class 0x81, aid 0x0011)
Line 52 | PARTIAL | 137/143 | 1133740714 2005.12.04 dn483 Dec 4 15:58:34 dn483/dn483 kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))
Line 53 | PARTIAL | 138/143 | 1133740714 2005.12.04 dn483 Dec 4 15:58:34 dn483/dn483 kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))
Line 54 | PARTIAL | 62/65 | 1133740714 2005.12.04 tbird-sm1 Dec 4 15:58:34 src@tbird-sm1 ib_sm.x[24904]: [INFO]: Configuration caused by some ports in INIT state
Line 55 | PARTIAL | 92/96 | 1133740714 2005.12.04 tbird-sm1 Dec 4 15:58:34 src@tbird-sm1 ib_sm.x[24904]: [ib_sm_discovery.c:1103]: Failed discover node test, node 5ad000002756a, port_num= 7, error code 1
Line 56 | PARTIAL | 73/75 | 1133740714 2005.12.04 tbird-sm1 Dec 4 15:58:34 src@tbird-sm1 ib_sm.x[24904]: [ib_sm_discovery.c:470]: Failed to GetNodeInfo() because of NO RESPONSE
Line 57 | PARTIAL | 109/111 | 1133740714 2005.12.04 tbird-sm1 Dec 4 15:58:34 src@tbird-sm1 ib_sm.x[24904]: [ib_sm_discovery.c:490]: Failed to GetNodeInfo() - hop_count: 6, direct_path: 0, 1, 1, 13, 2, 7, 7, 0, 0, 0
Line 58 | PARTIAL | 67/69 | 1133740714 2005.12.04 tbird-sm1 Dec 4 15:58:34 src@tbird-sm1 ib_sm.x[24904]: [ib_sm_sweep.c:1455]: No topology change
Line 59 | KEEP    | 105/105 | 1133740715 2005.12.04 bn248 Dec 4 15:58:35 bn248/bn248 Server Administrator: Instrumentation Service EventID: 1052 Temperature sensor returned to a normal value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previous state was: Non-Critical (Warning) Temperature sensor value (in Degrees Celsius): 11.0
Line 60 | KEEP    | 65/65 | 1133740715 2005.12.04 bn248 Dec 4 15:58:35 bn248/bn248 snmpd[7942]: Got trap from peer on fd 13
Line 61 | KEEP    | 77/77 | 1133740715 2005.12.04 bn525 Dec 4 15:58:35 bn525/bn525 ntpd[2287]: synchronized to 10.100.14.250, stratum 3
Line 62 | KEEP    | 128/128 | 1133740715 2005.12.04 dn483 Dec 4 15:58:35 dn483/dn483 kernel: THH(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/hob_comm.c[1597]: XHH_hob_process_local_mad: Device in FATAL state
Line 63 | KEEP    | 128/128 | 1133740715 2005.12.04 dn483 Dec 4 15:58:35 dn483/dn483 kernel: THH(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/hob_comm.c[1597]: XHH_hob_process_local_mad: Device in FATAL state
Line 64 | KEEP    | 66/66 | 1133740715 2005.12.04 dn483 Dec 4 15:58:35 dn483/dn483 kernel: Your time source seems to be instable or some driver is hogging interupts
Line 65 | KEEP    | 146/146 | 1133740715 2005.12.04 dn483 Dec 4 15:58:35 dn483/dn483 kernel: [KERNEL_IB][ib_mad_dispatch][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/ts_api_ng/mad/obj_host_amd64_custom1_rhel4/ts_ib_mad/mad_filter.c:292]mad_process failed (0) for InfiniHost0 port 1 QPN 0 (class 0x81, aid 0x0011)
Line 66 | KEEP    | 146/146 | 1133740715 2005.12.04 dn483 Dec 4 15:58:35 dn483/dn483 kernel: [KERNEL_IB][ib_mad_dispatch][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/ts_api_ng/mad/obj_host_amd64_custom1_rhel4/ts_ib_mad/mad_filter.c:292]mad_process failed (0) for InfiniHost0 port 1 QPN 0 (class 0x81, aid 0x0011)
Line 67 | KEEP    | 146/146 | 1133740715 2005.12.04 dn483 Dec 4 15:58:35 dn483/dn483 kernel: [KERNEL_IB][ib_mad_dispatch][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/ts_api_ng/mad/obj_host_amd64_custom1_rhel4/ts_ib_mad/mad_filter.c:292]mad_process failed (0) for InfiniHost0 port 1 QPN 0 (class 0x81, aid 0x0011)
Line 68 | KEEP    | 143/143 | 1133740715 2005.12.04 dn483 Dec 4 15:58:35 dn483/dn483 kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))
Line 69 | KEEP    | 143/143 | 1133740715 2005.12.04 dn483 Dec 4 15:58:35 dn483/dn483 kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))
Line 70 | KEEP    | 143/143 | 1133740715 2005.12.04 dn483 Dec 4 15:58:35 dn483/dn483 kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))
Line 71 | KEEP    | 63/63 | 1133740715 2005.12.04 dn483 Dec 4 15:58:35 dn483/dn483 kernel: rip __do_softirq+0x4d/0xd0
Line 72 | KEEP    | 54/54 | 1133740715 2005.12.04 dn483 Dec 4 15:58:35 dn483/dn483 kernel: warning: many lost ticks.
Line 73 | KEEP    | 77/77 | 1133740716 2005.12.04 dn706 Dec 4 15:58:36 dn706/dn706 ntpd[2286]: synchronized to 10.100.28.250, stratum 3
Line 74 | KEEP    | 102/102 | 1133740717 2005.12.04 bn171 Dec 4 15:58:37 bn171/bn171 Server Administrator: Instrumentation Service EventID: 1053 Temperature sensor detected a warning value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previous state was: OK (Normal) Temperature sensor value (in Degrees Celsius): 10.0
--------------------------------------------------------------------------------
KEEP=16, PARTIAL=59, DROP=0

================================================================================
압축률: 0.7
원본 토큰 수: 8174
압축 후 KV 토큰 수: 2452
압축률: 0.7
기준 레이어: 0
생존 unique token 수: 3122
================================================================================
Line 00 | PARTIAL | 22/77 | 1133740692 2005.12.04 dn871 Dec 4 15:58:12 dn871/dn871 ntpd[2286]: synchronized to 10.100.28.250, stratum 3
Line 01 | PARTIAL | 31/105 | 1133740695 2005.12.04 bn190 Dec 4 15:58:15 bn190/bn190 Server Administrator: Instrumentation Service EventID: 1052 Temperature sensor returned to a normal value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previous state was: Non-Critical (Warning) Temperature sensor value (in Degrees Celsius): 11.0
Line 02 | PARTIAL | 9/65 | 1133740695 2005.12.04 bn190 Dec 4 15:58:15 bn190/bn190 snmpd[7941]: Got trap from peer on fd 13
Line 03 | PARTIAL | 10/73 | 1133740695 2005.12.04 tbird-sm1 Dec 4 15:58:15 src@tbird-sm1 ib_sm.x[24904]: [ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************
Line 04 | PARTIAL | 21/105 | 1133740697 2005.12.04 bn283 Dec 4 15:58:17 bn283/bn283 Server Administrator: Instrumentation Service EventID: 1052 Temperature sensor returned to a normal value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previous state was: Non-Critical (Warning) Temperature sensor value (in Degrees Celsius): 11.0
Line 05 | PARTIAL | 5/65 | 1133740697 2005.12.04 bn283 Dec 4 15:58:17 bn283/bn283 snmpd[8956]: Got trap from peer on fd 13
Line 06 | PARTIAL | 9/70 | 1133740697 2005.12.04 tbird-sm1 Dec 4 15:58:17 src@tbird-sm1 ib_sm.x[24904]: [ib_sm_sweep.c:1264]: Rediscover the subnet
Line 07 | PARTIAL | 7/91 | 1133740697 2005.12.04 tbird-sm1 Dec 4 15:58:17 src@tbird-sm1 ib_sm.x[24904]: [ib_sm_sweep.c:411]: IB node 0x0005AD000002756A port 7 is INIT state
Line 08 | PARTIAL | 19/105 | 1133740698 2005.12.04 bn275 Dec 4 15:58:18 bn275/bn275 Server Administrator: Instrumentation Service EventID: 1052 Temperature sensor returned to a normal value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previous state was: Non-Critical (Warning) Temperature sensor value (in Degrees Celsius): 11.0
Line 09 | PARTIAL | 5/65 | 1133740698 2005.12.04 bn275 Dec 4 15:58:18 bn275/bn275 snmpd[7931]: Got trap from peer on fd 13
Line 10 | PARTIAL | 17/128 | 1133740698 2005.12.04 dn483 Dec 4 15:58:18 dn483/dn483 kernel: THH(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/hob_comm.c[1597]: XHH_hob_process_local_mad: Device in FATAL state
Line 11 | PARTIAL | 16/128 | 1133740698 2005.12.04 dn483 Dec 4 15:58:18 dn483/dn483 kernel: THH(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/hob_comm.c[1597]: XHH_hob_process_local_mad: Device in FATAL state
