node,template_id,bucket5,anchor_ts,stage,pool_size,n_negatives_selected
an315,8,3816212,1144863750,1,11,4
an316,8,3816212,1144863750,1,12,4
an317,8,3816212,1144863750,1,13,4
an318,8,3816212,1144863750,1,10,4
an320,8,3816212,1144863750,1,11,4
an321,8,3816212,1144863750,1,13,4
an322,8,3816212,1144863750,1,12,4
an323,8,3816212,1144863750,1,12,4
an324,8,3816212,1144863750,1,12,4
an325,8,3816212,1144863750,1,14,4
an326,1,3780317,1134095250,1,180,4
an326,8,3816212,1144863750,1,15,4
an327,8,3816212,1144863750,1,12,4
an328,8,3816212,1144863750,1,12,4
an329,8,3816212,1144863750,1,12,4
an330,8,3816212,1144863750,1,10,4
an331,8,3816212,1144863750,1,11,4
an332,8,3816212,1144863750,1,11,4
an333,8,3816212,1144863750,1,13,4
an334,1,3821789,1146536850,1,496,4
an334,8,3816212,1144863750,1,12,4
an335,1,3812842,1143852750,2,21586,4
an335,8,3816212,1144863750,1,13,4
an336,8,3816212,1144863750,1,13,4
an337,1,3812842,1143852750,2,15438,4
an337,8,3816212,1144863750,1,12,4
an345,1,3812842,1143852750,2,16819,4
an345,8,3810196,1143058950,1,48,4
an345,8,3810197,1143059250,1,48,4
an345,8,3810198,1143059550,1,48,4
an346,8,3810196,1143058950,1,49,4
an346,8,3810197,1143059250,1,49,4
an346,8,3810198,1143059550,1,49,4
an347,1,3778560,1133568150,1,524,4
an347,8,3816212,1144863750,1,11,4
an348,8,3816212,1144863750,1,12,4
an349,8,3816212,1144863750,1,10,4
an351,8,3816212,1144863750,1,14,4
an353,1,3806099,1141829850,1,8,4
an354,1,3840757,1152227250,1,75,4
an354,8,3816212,1144863750,1,12,4
an355,8,3816212,1144863750,1,14,4
an356,8,3816212,1144863750,1,11,4
an362,8,3816212,1144863750,1,13,4
an364,8,3816212,1144863750,1,14,4
an367,8,3816212,1144863750,1,11,4
an374,8,3816212,1144863750,1,13,4
an376,1,3833253,1149976050,1,1366,4
an379,1,3823259,1146977850,1,3,3
an38,1,3812842,1143852750,1,11,4
an380,1,3812842,1143852750,2,27768,4
an381,1,3812842,1143852750,2,17496,4
an382,1,3812842,1143852750,2,18799,4
an383,1,3812842,1143852750,2,19577,4
an386,1,3812842,1143852750,2,46990,4
an39,1,3812831,1143849450,1,40,4
an390,1,3812832,1143849750,2,14082,4
an392,1,3812833,1143850050,2,14361,4
an393,1,3812842,1143852750,2,26766,4
an394,8,3816212,1144863750,1,12,4
an395,1,3812842,1143852750,2,15275,4
an395,8,3816212,1144863750,1,11,4
an396,8,3816212,1144863750,1,12,4
an397,8,3816212,1144863750,1,11,4
an398,8,3816212,1144863750,1,13,4
an399,8,3816212,1144863750,1,12,4
an4,8,3828311,1148493450,1,4,4
an40,1,3812831,1143849450,1,15,4
an400,8,3816212,1144863750,1,11,4
an402,8,3816212,1144863750,1,11,4
an403,8,3816212,1144863750,1,12,4
an404,8,3816212,1144863750,1,11,4
an405,8,3816212,1144863750,1,12,4
an406,8,3816212,1144863750,1,12,4
an407,8,3816212,1144863750,1,12,4
an408,8,3816212,1144863750,1,13,4
an409,8,3816212,1144863750,1,13,4
an410,8,3816212,1144863750,1,14,4
an411,8,3816212,1144863750,1,12,4
an412,1,3812831,1143849450,1,14,4
an412,8,3816212,1144863750,1,14,4
an413,8,3816212,1144863750,1,14,4
an414,8,3816212,1144863750,1,12,4
an415,8,3816212,1144863750,1,13,4
an416,1,3772989,1131896850,1,1645,4
an416,1,3812831,1143849450,2,61588,4
an416,8,3816212,1144863750,1,14,4
an417,8,3816212,1144863750,1,13,4
an418,8,3816212,1144863750,1,13,4
an419,8,3816212,1144863750,1,13,4
an42,1,3812832,1143849750,1,16,4
an420,8,3816212,1144863750,1,16,4
an421,8,3816212,1144863750,1,14,4
an422,8,3816212,1144863750,1,12,4
an423,8,3816212,1144863750,1,14,4
an424,8,3816212,1144863750,1,13,4
an425,1,3812832,1143849750,2,24396,4
an425,8,3816212,1144863750,1,14,4
an426,8,3816212,1144863750,1,12,4
an427,8,3816212,1144863750,1,16,4
an428,8,3816212,1144863750,1,12,4
an43,1,3778490,1133547150,1,26,4
an43,2,3778454,1133536350,1,6,4
an43,2,3778490,1133547150,1,26,4
an43,2,3778491,1133547450,1,26,4
an43,2,3778493,1133548050,1,26,4
an43,2,3778494,1133548350,1,26,4
an43,2,3778996,1133698950,1,32,4
an43,2,3779655,1133896650,1,98,4
an43,2,3779922,1133976750,1,7,4
an43,2,3779926,1133977950,1,7,4
an43,2,3779938,1133981550,1,10,4
an43,2,3779941,1133982450,1,8,4
an43,2,3780217,1134065250,1,4,4
an43,2,3780486,1134145950,1,12,4
an430,8,3816212,1144863750,1,15,4
an431,8,3816212,1144863750,1,14,4
an432,8,3816212,1144863750,1,12,4
an433,1,3812832,1143849750,1,6,4
an433,8,3816212,1144863750,1,12,4
an434,8,3816212,1144863750,1,14,4
an435,8,3816212,1144863750,1,12,4
an436,8,3816212,1144863750,1,15,4
an437,1,3812589,1143776850,1,9,4
an438,8,3816212,1144863750,1,13,4
an439,8,3816212,1144863750,1,14,4
an44,1,3840770,1152231150,1,1398,4
an440,1,3812832,1143849750,1,26,4
an440,8,3816212,1144863750,1,12,4
an441,8,3816212,1144863750,1,15,4
an442,1,3812832,1143849750,1,140,4
an442,8,3816212,1144863750,1,15,4
an443,8,3816212,1144863750,1,12,4
an444,8,3816212,1144863750,1,13,4
an446,1,3812832,1143849750,2,27747,4
an446,8,3816212,1144863750,1,12,4
an448,1,3812831,1143849450,1,2,2
an448,8,3816212,1144863750,1,12,4
an449,8,3816212,1144863750,1,14,4
an45,8,3828311,1148493450,1,7,4
an450,8,3816212,1144863750,1,15,4
an451,8,3816212,1144863750,1,13,4
an452,8,3816212,1144863750,1,13,4
an453,8,3816212,1144863750,1,13,4
an454,8,3816212,1144863750,1,15,4
an455,8,3816212,1144863750,1,15,4
an456,8,3816212,1144863750,1,12,4
an457,8,3816212,1144863750,1,15,4
an458,8,3816212,1144863750,1,12,4
an459,8,3816212,1144863750,1,14,4
an460,8,3816212,1144863750,1,12,4
an461,8,3816212,1144863750,1,15,4
an463,8,3816212,1144863750,1,12,4
an464,8,3816212,1144863750,1,12,4
an465,8,3816212,1144863750,1,13,4
an466,8,3816212,1144863750,1,13,4
an467,8,3816212,1144863750,1,15,4
an468,8,3816212,1144863750,1,13,4
an469,8,3816212,1144863750,1,14,4
an47,1,3812842,1143852750,1,16,4
an47,8,3828311,1148493450,1,3,3
an470,8,3816212,1144863750,1,13,4
an471,8,3816212,1144863750,1,13,4
an472,8,3816212,1144863750,1,12,4
an473,1,3812831,1143849450,1,102,4
an473,8,3816212,1144863750,1,13,4
an474,8,3816212,1144863750,1,15,4
an475,8,3816212,1144863750,1,12,4
an476,8,3816212,1144863750,1,14,4
an477,8,3816212,1144863750,1,13,4
an478,1,3812832,1143849750,1,32,4
an478,8,3816212,1144863750,1,13,4
an479,1,3812842,1143852750,1,120,4
an479,8,3816212,1144863750,1,14,4
an48,1,3812842,1143852750,1,13,4
an48,8,3828311,1148493450,1,4,4
an480,1,3812833,1143850050,2,27315,4
an482,1,3822637,1146791250,1,775,4
an483,1,3812842,1143852750,2,13462,4
an483,8,3816212,1144863750,1,13,4
an484,8,3816212,1144863750,1,12,4
an485,8,3816212,1144863750,1,13,4
an486,8,3816212,1144863750,1,15,4
an487,8,3816212,1144863750,1,15,4
an488,8,3816212,1144863750,1,15,4
an489,8,3816212,1144863750,1,14,4
an49,8,3828311,1148493450,1,5,4
an490,1,3812842,1143852750,2,13269,4
an490,8,3816212,1144863750,1,12,4
an491,8,3816212,1144863750,1,14,4
an492,8,3816212,1144863750,1,10,4
an493,8,3816212,1144863750,1,10,4
an496,8,3816212,1144863750,1,11,4
an497,1,3812842,1143852750,2,32400,4
an497,8,3816212,1144863750,1,9,4
an499,8,3816212,1144863750,1,9,4
an5,1,3812832,1143849750,1,7,4
an500,8,3816212,1144863750,1,9,4
an501,8,3816212,1144863750,1,10,4
an502,8,3816212,1144863750,1,10,4
an504,8,3816212,1144863750,1,11,4
an505,8,3816212,1144863750,1,10,4
an506,8,3816212,1144863750,1,10,4
an507,8,3816212,1144863750,1,12,4
an508,8,3816212,1144863750,1,10,4
an510,1,3815735,1144720650,1,46,4
an510,2,3815730,1144719150,1,46,4
an510,2,3815731,1144719450,1,46,4
an510,2,3815735,1144720650,1,46,4
an510,2,3815844,1144753350,1,11,4
an510,2,3816137,1144841250,1,5,4
an510,2,3816996,1145098950,1,12,4
an510,2,3817284,1145185350,1,6,4
an510,2,3817572,1145271750,1,6,4
an510,2,3817860,1145358150,1,4,4
an510,2,3818436,1145530950,1,15,4
an510,2,3818569,1145570850,1,23,4
an510,2,3818729,1145618850,1,6,4
an510,2,3819012,1145703750,1,56,4
an510,2,3819588,1145876550,1,6,4
an510,2,3819632,1145889750,1,6,4
an510,2,3819634,1145890350,1,6,4
an510,2,3819722,1145916750,1,112,4
an510,2,3819724,1145917350,1,112,4
an510,2,3819725,1145917650,1,372,4
an510,2,3819727,1145918250,1,612,4
an510,2,3819728,1145918550,1,612,4
an510,2,3819729,1145918850,1,612,4
an510,2,3819736,1145920950,1,656,4
an510,7,3815730,1144719150,1,46,4
an513,8,3816212,1144863750,1,11,4
an515,1,3812842,1143852750,2,38049,4
an515,1,3818912,1145673750,1,1535,4
an518,1,3812842,1143852750,2,16131,4
an519,1,3812842,1143852750,2,26444,4
an53,1,3812842,1143852750,1,18,4
an531,8,3833857,1150157250,1,19,4
an532,1,3812842,1143852750,1,8,4
an533,1,3812842,1143852750,2,19049,4
an534,1,3812842,1143852750,1,84,4
an537,1,3812833,1143850050,1,46,4
an538,7,3793988,1138196550,1,32,4
an538,7,3799157,1139747250,1,14563,4
an539,1,3812842,1143852750,2,26204,4
an54,1,3812842,1143852750,1,18,4
an542,1,3812833,1143850050,2,16907,4
an543,1,3812842,1143852750,2,18096,4
an545,1,3812833,1143850050,2,19523,4
an546,1,3812842,1143852750,2,16885,4
an547,1,3812842,1143852750,2,16856,4
an550,1,3812842,1143852750,2,17548,4
an552,1,3819300,1145790150,1,16,4
an552,2,3819054,1145716350,1,8,4
an552,2,3819057,1145717250,1,8,4
an552,2,3819059,1145717850,1,9,4
an552,2,3819300,1145790150,1,16,4
an552,2,3819304,1145791350,1,16,4
an552,2,3819588,1145876550,1,16,4
an552,2,3819632,1145889750,1,8,4
an552,2,3819633,1145890050,1,8,4
an552,2,3819634,1145890350,1,8,4
an552,2,3819722,1145916750,1,536,4
an552,2,3819724,1145917350,1,537,4
an552,2,3819725,1145917650,1,537,4
an552,2,3819727,1145918250,1,538,4
an552,2,3819728,1145918550,1,538,4
an552,2,3819729,1145918850,1,538,4
an552,2,3819732,1145919750,1,578,4
an552,3,3819724,1145917350,1,537,4
an559,1,3812842,1143852750,2,17813,4
an560,1,3812831,1143849450,1,26,4
an562,1,3812833,1143850050,1,84,4
an563,1,3812833,1143850050,2,16385,4
an571,1,3812842,1143852750,2,16032,4
an577,1,3812842,1143852750,2,15086,4
an578,1,3808529,1142558850,1,2,2
an578,1,3811018,1143305550,1,3,3
an578,1,3813025,1143907650,1,2,2
an578,1,3814201,1144260450,2,19158,4
an578,1,3815013,1144504050,1,6,4
an578,1,3816483,1144945050,1,1,1
an579,1,3808180,1142454150,1,3,3
an583,1,3789511,1136853450,1,1192,4
an594,8,3810195,1143058650,1,11,4
an60,1,3812842,1143852750,1,42,4
an607,8,3810195,1143058650,1,19,4
an61,9,3830614,1149184350,1,4,4
an611,1,3828105,1148431650,1,17,4
an611,1,3830610,1149183150,1,5,4
an611,4,3817172,1145151750,1,1,1
an615,1,3825724,1147717350,1,531,4
an63,1,3812842,1143852750,1,14,4
an63,1,3840974,1152292350,1,6,4
an63,9,3834961,1150488450,1,15,4
an63,9,3836781,1151034450,1,3,3
an64,9,3832416,1149724950,1,4,4
an64,9,3836807,1151042250,2,31277,4
an640,1,3804142,1141242750,1,1384,4
an664,1,3772448,1131734550,1,1355,4
an665,1,3819956,1145986950,1,999,4
an667,1,3804640,1141392150,1,596,4
an667,7,3804639,1141391850,1,596,4
an667,7,3804640,1141392150,1,596,4
an667,7,3804641,1141392450,1,596,4
an667,7,3804912,1141473750,1,142,4
an667,7,3804913,1141474050,1,142,4
an667,7,3804914,1141474350,1,142,4
an667,7,3804915,1141474650,1,142,4
an667,7,3805200,1141560150,1,227,4
an667,7,3805201,1141560450,1,227,4
an667,7,3805204,1141561350,1,227,4
an667,7,3805205,1141561650,1,227,4
an667,7,3805206,1141561950,1,227,4
an667,7,3805207,1141562250,1,227,4
an667,7,3805488,1141646550,1,74,4
an667,7,3805489,1141646850,1,74,4
an667,7,3805776,1141732950,1,72,4
an667,7,3805777,1141733250,1,72,4
an667,7,3805818,1141745550,1,47,4
an667,7,3805819,1141745850,1,47,4
an667,7,3806064,1141819350,1,85,4
an667,7,3806065,1141819650,1,85,4
an679,1,3787921,1136376450,1,42,4
an679,1,3787955,1136386650,1,595,4
an679,1,3788076,1136422950,1,535,4
an679,1,3808416,1142524950,1,603,4
an679,3,3787701,1136310450,1,525,4
an679,3,3803517,1141055250,1,473,4
an679,7,3787673,1136302050,1,568,4
an679,7,3787701,1136310450,1,525,4
an679,7,3787758,1136327550,1,554,4
an679,7,3787921,1136376450,1,42,4
an679,7,3787955,1136386650,1,595,4
an679,7,3788076,1136422950,1,535,4
an679,7,3803838,1141151550,1,579,4
an679,7,3807954,1142386350,1,592,4
an679,7,3808416,1142524950,1,603,4
an684,1,3797426,1139227950,1,1037,4
an69,1,3812842,1143852750,1,24,4
an690,1,3783365,1135009650,1,1845,4
an690,1,3788303,1136491050,1,1628,4
an690,1,3788309,1136492850,1,1627,4
an690,1,3795845,1138753650,1,125,4
an71,1,3812842,1143852750,1,18,4
an713,1,3772546,1131763950,1,16,4
an75,1,3812842,1143852750,1,16,4
an753,8,3798404,1139521350,1,4,4
an76,1,3809314,1142794350,1,35,4
an76,2,3809308,1142792550,1,35,4
an76,2,3809309,1142792850,1,35,4
an76,2,3809311,1142793450,1,35,4
an76,2,3809314,1142794350,1,35,4
an76,2,3809814,1142944350,1,6,4
an76,2,3809818,1142945550,1,6,4
an76,2,3810096,1143028950,1,6,4
an76,2,3810102,1143030750,1,6,4
an76,2,3810384,1143115350,1,5,4
an76,2,3810390,1143117150,1,5,4
an76,7,3809308,1142792550,1,35,4
an760,1,3796489,1138946850,1,1040,4
an762,8,3796623,1138987050,1,7,4
an763,8,3796623,1138987050,1,8,4
an765,8,3796623,1138987050,1,9,4
an767,1,3830703,1149211050,1,54,4
an769,1,3812833,1143850050,2,20746,4
an770,1,3812833,1143850050,2,17403,4
an775,1,3812833,1143850050,2,17000,4
an778,1,3812842,1143852750,2,16665,4
an780,1,3812831,1143849450,1,3,3
